provincia,canton,latitud,longitud,AÑO,ASESINATO,FEMICIDIO,HOMICIDIO,SICARIATO,TOTAL
BOLÍVAR,BOLÍVAR,-1.6835489866530633,-79.02636551553742,2020.0,0.0,0.0,0.0,0.0,0.0
BOLÍVAR,BOLÍVAR,-1.4345070056924607,-79.28209600758994,2020.0,0.0,0.0,0.0,0.0,0.0
BOLÍVAR,BOLÍVAR,-1.5933559453094752,-79.00195369374596,2020.0,4.0,1.0,0.0,0.0,5.0
BOLÍVAR,BOLÍVAR,-1.2873997693297756,-79.31635209243969,2020.0,0.0,0.0,0.0,0.0,0.0
BOLÍVAR,BOLÍVAR,-1.7214835246847695,-79.04208563291301,2020.0,0.0,1.0,2.0,0.0,3.0
CAÑAR,CAÑAR,-2.7453174760372523,-78.85464986804966,2020.0,0.0,0.0,0.0,0.0,0.0
CAÑAR,CAÑAR,-2.718158277476063,-78.89506820330142,2020.0,0.0,0.0,1.0,0.0,1.0
CAÑAR,CAÑAR,-2.560066016198399,-78.94030942159786,2020.0,1.0,0.0,0.0,0.0,1.0
CAÑAR,CAÑAR,-2.7742553139957096,-78.9229425853276,2020.0,0.0,0.0,0.0,0.0,0.0
CAÑAR,CAÑAR,-2.512739585549103,-78.93125261406546,2020.0,0.0,0.0,1.0,0.0,1.0
CAÑAR,CAÑAR,-2.4226494349657304,-79.34665371328762,2020.0,10.0,2.0,1.0,1.0,14.0
CAÑAR,CAÑAR,-2.436873127572856,-79.05252217009713,2020.0,0.0,0.0,0.0,0.0,0.0
CARCHI,CARCHI,0.4992661952702349,-77.90655710630634,2020.0,0.0,0.0,0.0,0.0,0.0
CARCHI,CARCHI,0.6645777567362529,-78.02053212435166,2020.0,0.0,0.0,0.0,0.0,0.0
CARCHI,CARCHI,0.5491264058598859,-78.04239999218682,2020.0,1.0,0.0,1.0,0.0,2.0
CARCHI,CARCHI,0.5629594172029508,-77.77545377706274,2020.0,1.0,0.0,0.0,0.0,1.0
CARCHI,CARCHI,0.6294539223094229,-77.7280671702541,2020.0,0.0,0.0,0.0,0.0,0.0
CARCHI,CARCHI,0.8106937646994191,-77.72242574706743,2020.0,1.0,1.0,2.0,0.0,4.0
CHIMBORAZO,CHIMBORAZO,-2.200793076293622,-78.8496726683915,2020.0,2.0,0.0,0.0,0.0,2.0
CHIMBORAZO,CHIMBORAZO,-1.7335435904096688,-78.5999199872129,2020.0,0.0,0.0,0.0,0.0,0.0
CHIMBORAZO,CHIMBORAZO,-2.2909173702924712,-78.92320949372329,2020.0,0.0,0.0,0.0,0.0,0.0
CHIMBORAZO,CHIMBORAZO,-1.7389883629990062,-78.77045395066534,2020.0,1.0,0.0,0.0,0.0,1.0
CHIMBORAZO,CHIMBORAZO,-2.207675034719824,-79.13512797962643,2020.0,1.0,0.0,0.0,0.0,1.0
CHIMBORAZO,CHIMBORAZO,-1.9361674197771157,-78.71136042636947,2020.0,0.0,0.0,0.0,0.0,0.0
CHIMBORAZO,CHIMBORAZO,-1.611862056349082,-78.63719394179877,2020.0,0.0,0.0,1.0,0.0,1.0
CHIMBORAZO,CHIMBORAZO,-2.00044818856799,-78.97052435142399,2020.0,0.0,0.0,0.0,0.0,0.0
CHIMBORAZO,CHIMBORAZO,-1.5690631713545748,-78.53431112847277,2020.0,0.0,0.0,0.0,0.0,0.0
CHIMBORAZO,CHIMBORAZO,-1.73567958520902,-78.7262335802787,2020.0,6.0,1.0,1.0,0.0,8.0
COTOPAXI,COTOPAXI,-0.9433822936273738,-79.23452072483649,2020.0,2.0,0.0,1.0,0.0,3.0
COTOPAXI,COTOPAXI,-0.9361826977397582,-78.61748633031968,2020.0,15.0,1.0,1.0,0.0,17.0
COTOPAXI,COTOPAXI,-1.11234916124104,-79.20151538165472,2020.0,0.0,0.0,0.0,0.0,0.0
COTOPAXI,COTOPAXI,-0.9605218840318108,-78.69951371204242,2020.0,1.0,0.0,2.0,0.0,3.0
COTOPAXI,COTOPAXI,-1.044376629200021,-78.59365313893335,2020.0,2.0,1.0,1.0,0.0,4.0
COTOPAXI,COTOPAXI,-0.8269483188510437,-78.67407272513472,2020.0,0.0,1.0,0.0,0.0,1.0
COTOPAXI,COTOPAXI,-0.7031361518181343,-78.89203530242419,2020.0,0.0,0.0,0.0,0.0,0.0
EL ORO,EL ORO,-3.560478442196411,-80.07129048959521,2020.0,2.0,0.0,3.0,1.0,6.0
EL ORO,EL ORO,-3.4598268020771195,-79.5801124027695,2020.0,0.0,0.0,0.0,0.0,0.0
EL ORO,EL ORO,-3.241238981530895,-79.82429290870787,2020.0,4.0,0.0,2.0,1.0,7.0
EL ORO,EL ORO,-3.480749616423377,-80.22836788856449,2020.0,15.0,0.0,1.0,0.0,16.0
EL ORO,EL ORO,-3.825064443656149,-80.0767763582082,2020.0,0.0,0.0,0.0,0.0,0.0
EL ORO,EL ORO,-3.266889621869932,-79.97126382915992,2020.0,36.0,0.0,6.0,0.0,42.0
EL ORO,EL ORO,-3.7868341152409353,-79.91518435365457,2020.0,0.0,0.0,0.0,0.0,0.0
EL ORO,EL ORO,-3.3356421091246795,-79.81700751216624,2020.0,6.0,2.0,1.0,0.0,9.0
EL ORO,EL ORO,-3.682847471579553,-79.6846694954394,2020.0,0.0,0.0,1.0,0.0,1.0
